Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,learning_rate,max_depth,min_samples_split,n_estimators,mse,r2,test_mse,test_r2,Model,Data,Original Run ID,Train Data
2025-03-20 21:30:02,1.9s,444d991652254ec991acc60b1c0d524b,receptive-crane-327,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,None,5,100,0.0005343548420339190,0.9005890330589370,,,random-forest,,,all-features
2025-03-20 21:30:10,1.8s,ba4f769ae33347139e510c3e73266064,nimble-kite-457,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,10,2,100,0.0005378643604703710,0.8999361249278210,,,random-forest,,,all-features
2025-03-20 21:30:38,2.3s,506b0c1739c04527ac8f1500b46a7e7d,carefree-boar-536,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,10,5,200,0.0005380670436324650,0.8998984179070520,,,random-forest,,,all-features
2025-03-20 21:27:59,2.3s,39af7706a58440729ffa1a6bc3ea5fa6,marvelous-wolf-304,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,10,5,200,0.0005380670436324650,0.8998984179070520,,,random-forest,,,all-features
2025-03-20 21:29:43,1.5s,946549c4d5c147a788b27ba489dc605e,bouncy-shrimp-918,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,None,5,50,0.0005424075194624010,0.8990909190967190,,,random-forest,,,all-features
2025-03-20 21:29:57,1.7s,21d13ca4c1b64c7c8c124256e7956833,illustrious-gull-732,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,15,5,50,0.0005432125569076230,0.8989411505448910,,,random-forest,,,all-features
2025-03-20 21:30:12,2.0s,41c88d5eb0494fe9abbacda4c9900105,likeable-sheep-903,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,10,5,100,0.000543305803378497,0.8989238030426250,,,random-forest,,,all-features
2025-03-20 21:29:41,2.0s,a85e0fefd45147bd82ae996a2ef97f5d,useful-calf-769,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,None,2,50,0.0005446125833887040,0.8986806906869860,,,random-forest,,,all-features
2025-03-20 21:29:50,1.5s,2139d285e3ba4f498e7a68e8efb670a5,crawling-rook-212,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,10,2,50,0.0005483346673775770,0.8979882370227480,,,random-forest,,,all-features
2025-03-20 21:29:52,1.7s,f0eeec3eda644c3391082dc0e7430fc3,tasteful-smelt-883,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,10,5,50,0.0005556637451218670,0.8966247409934560,,,random-forest,,,all-features
