Games,At-bat,Runs,Hits,Double,Triple,HR,RBI,Walk,Strikeouts,stolen base ,Caught stealing,AVG,On-base Plus Slugging
1848.0,6978.0,1076.0,2156.0,426.0,21.0,294.0,1236.0,651.0,852.0,94.0,50.0,0.309,0.871
971.0,3120.0,389.0,762.0,150.0,13.0,71.0,307.0,343.0,757.0,42.0,16.0,0.244,0.695
2147.0,8155.0,1328.0,2590.0,477.0,46.0,449.0,1496.0,737.0,985.0,181.0,94.0,0.318,0.932
1212.0,2711.0,280.0,694.0,151.0,14.0,75.0,374.0,220.0,687.0,3.0,12.0,0.256,0.723
1309.0,4568.0,625.0,1146.0,226.0,17.0,221.0,718.0,287.0,790.0,47.0,26.0,0.251,0.752
1315.0,4282.0,546.0,1146.0,172.0,24.0,172.0,723.0,521.0,359.0,10.0,12.0,0.268,0.793
1438.0,5236.0,810.0,1463.0,259.0,45.0,199.0,929.0,750.0,546.0,143.0,55.0,0.279,0.829
1544.0,5145.0,833.0,1424.0,229.0,57.0,164.0,703.0,521.0,638.0,50.0,33.0,0.277,0.785
1526.0,5105.0,580.0,1345.0,262.0,8.0,169.0,757.0,430.0,734.0,9.0,5.0,0.263,0.744
1014.0,3020.0,384.0,805.0,135.0,33.0,132.0,467.0,353.0,460.0,10.0,3.0,0.267,0.805
1099.0,4458.0,731.0,1283.0,172.0,57.0,59.0,353.0,363.0,888.0,455.0,142.0,0.288,0.734
2093.0,6752.0,739.0,1639.0,253.0,35.0,68.0,594.0,665.0,711.0,41.0,36.0,0.243,0.635
1571.0,4838.0,609.0,1308.0,248.0,40.0,118.0,611.0,357.0,667.0,151.0,73.0,0.27,0.734
1324.0,4369.0,386.0,1103.0,135.0,26.0,60.0,457.0,333.0,459.0,19.0,24.0,0.252,0.644
1123.0,4784.0,788.0,1230.0,172.0,90.0,31.0,564.0,120.0,498.0,159.0,29.111971403812824,0.257,0.627
1635.0,5563.0,594.0,1421.0,295.0,6.0,143.0,730.0,387.0,751.0,20.0,11.0,0.255,0.702
2194.0,8136.0,1098.0,2303.0,495.0,24.0,386.0,1417.0,633.0,1238.0,29.0,18.0,0.283,0.833
2302.0,8244.0,1544.0,2574.0,547.0,20.0,555.0,1831.0,1329.0,1813.0,38.0,33.0,0.312,0.996
976.0,3068.0,363.0,833.0,143.0,24.0,56.0,355.0,229.0,387.0,64.0,39.0,0.272,0.712
2079.0,7721.0,893.0,2096.0,329.0,106.0,70.0,728.0,375.0,1092.0,242.0,129.0,0.271,0.673
2616.0,10332.0,1610.0,3023.0,486.0,141.0,149.0,900.0,761.0,1730.0,938.0,307.0,0.293,0.753
2409.0,8731.0,1196.0,2495.0,490.0,120.0,172.0,1311.0,955.0,869.0,137.0,90.0,0.286,0.787
1780.0,6683.0,927.0,1775.0,366.0,28.0,252.0,1021.0,552.0,1295.0,94.0,53.0,0.266,0.767
1381.0,4318.0,642.0,1198.0,197.0,58.0,103.0,531.0,485.0,646.0,67.0,36.0,0.277,0.772
1347.0,5161.0,835.0,1561.0,331.0,58.0,228.0,1012.0,545.0,440.0,28.0,23.0,0.302,0.893
1538.0,5233.0,643.0,1478.0,250.0,21.0,100.0,658.0,653.0,662.0,43.0,41.0,0.282,0.756
1142.0,4684.0,898.0,1352.0,215.0,139.0,69.0,740.0,157.0,156.0,245.0,29.111971403812824,0.289,0.763
1872.0,6914.0,974.0,1941.0,311.0,148.0,90.0,997.0,596.0,551.0,125.0,60.0,0.281,0.749
1260.0,4071.0,527.0,1020.0,219.0,9.0,186.0,618.0,385.0,975.0,11.0,5.0,0.251,0.764
1057.0,3494.0,428.0,982.0,162.0,32.0,107.0,451.0,299.0,377.0,11.0,0.0,0.281,0.78
1763.0,6185.0,888.0,1530.0,231.0,71.0,197.0,697.0,882.0,974.0,63.0,59.0,0.247,0.746
